# The following table is formatted as tab separated values.
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bo9g173370.1_exon_1	GENE_Bo9g173370.1_exon_1	transcript:Bo9g173370.1	protein_coding	0	5	8	440	0	0	0	1	165	0	0	0	118	7	0	0	0	0	0	1	0	0	0	0	5	157
gene:Bo9g173370	gene:Bo9g173370	Bo9g173370.1	protein_coding	0	0	0	453	0	0	0	0	165	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	157
Bo9g173370.1_exon_1	GENE_Bo9g173370.1_exon_1	transcript:Bo9g173370.1	protein_coding	0	5	8	440	0	0	0	1	165	0	0	0	118	7	0	0	0	0	0	1	0	0	0	0	5	157
gene:Bo9g173370	gene:Bo9g173370	Bo9g173370.1	protein_coding	0	0	0	453	0	0	0	0	165	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	157
Bo9g173400.1_exon_1	GENE_Bo9g173400.1_exon_1	transcript:Bo9g173400.1	protein_coding	0	4	1	362	0	0	0	0	155	0	0	0	88	1	0	0	0	0	0	1	0	0	0	0	4	119
gene:Bo9g173400	gene:Bo9g173400	Bo9g173400.1	protein_coding	0	0	0	367	0	0	0	0	155	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	119
Bo9g098970.1_exon_1	GENE_Bo9g098970.1_exon_1	transcript:Bo9g098970.1	protein_coding	0	5	5	219	0	0	0	0	98	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	5	117
gene:Bo9g098970	gene:Bo9g098970	Bo9g098970.1	protein_coding	0	0	0	229	0	0	0	0	98	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	117
Bo2g051350.1_exon_1	GENE_Bo2g051350.1_exon_1	transcript:Bo2g051350.1	protein_coding	0	2	0	410	0	0	0	0	149	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	240
gene:Bo2g051350	gene:Bo2g051350	Bo2g051350.1	protein_coding	0	0	0	412	0	0	0	0	149	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	240
Bo4g061100.1_exon_1	GENE_Bo4g061100.1_exon_1	transcript:Bo4g061100.1	protein_coding	1	12	12	290	0	0	0	0	75	0	1	0	104	12	0	0	0	0	0	3	0	0	0	0	9	114
gene:Bo4g061100	gene:Bo4g061100	Bo4g061100.1	protein_coding	0	0	0	315	0	0	0	0	75	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	114
Bo4g061100.1_exon_1	GENE_Bo4g061100.1_exon_1	transcript:Bo4g061100.1	protein_coding	1	12	12	290	0	0	0	0	75	0	1	0	104	12	0	0	0	0	0	3	0	0	0	0	9	114
gene:Bo4g061100	gene:Bo4g061100	Bo4g061100.1	protein_coding	0	0	0	315	0	0	0	0	75	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	114
Bo6g099320.1_exon_1	GENE_Bo6g099320.1_exon_1	transcript:Bo6g099320.1	protein_coding	0	1	3	172	0	0	0	0	80	0	0	0	38	3	0	0	0	0	0	0	0	0	0	0	1	54
gene:Bo6g099320	gene:Bo6g099320	Bo6g099320.1	protein_coding	0	0	0	176	0	0	0	0	80	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	54
Bo2g161210.1_exon_8	GENE_Bo2g161210.1_exon_8	transcript:Bo2g161210.1	protein_coding	0	4	2	270	0	0	0	0	107	0	0	0	57	2	0	0	0	0	0	2	0	0	0	0	2	108
gene:Bo2g161210	gene:Bo2g161210	Bo2g161210.1	protein_coding	0	0	0	276	0	0	0	0	108	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	107
Bo2g161210.1_exon_8	GENE_Bo2g161210.1_exon_8	transcript:Bo2g161210.1	protein_coding	0	4	2	270	0	0	0	0	107	0	0	0	57	2	0	0	0	0	0	2	0	0	0	0	2	108
gene:Bo2g161210	gene:Bo2g161210	Bo2g161210.1	protein_coding	0	0	0	276	0	0	0	0	108	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	107
Bo2g161210.1_exon_8	GENE_Bo2g161210.1_exon_8	transcript:Bo2g161210.1	protein_coding	0	4	2	270	0	0	0	0	107	0	0	0	57	2	0	0	0	0	0	2	0	0	0	0	2	108
gene:Bo2g161210	gene:Bo2g161210	Bo2g161210.1	protein_coding	0	0	0	276	0	0	0	0	108	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	107
Bo7g098190.1_exon_8	GENE_Bo7g098190.1_exon_8	transcript:Bo7g098190.1	protein_coding	1	7	5	322	0	0	0	0	152	0	1	0	76	5	0	0	0	0	0	1	1	0	0	0	6	95
gene:Bo7g098190	gene:Bo7g098190	Bo7g098190.1	protein_coding	0	0	0	335	0	0	0	0	95	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	152
Bo9g014400.1_exon_8	GENE_Bo9g014400.1_exon_8	transcript:Bo9g014400.1	protein_coding	0	4	6	158	1	0	0	0	102	0	0	0	40	5	0	0	0	0	0	1	0	0	0	0	3	17
gene:Bo9g014400	gene:Bo9g014400	Bo9g014400.1	protein_coding	0	0	0	168	0	0	0	0	17	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	102
Bo5g021060.1_exon_2	GENE_Bo5g021060.1_exon_2	transcript:Bo5g021060.1	protein_coding	0	2	2	326	0	0	0	0	114	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	2	207
gene:Bo5g021060	gene:Bo5g021060	Bo5g021060.1	protein_coding	0	0	0	330	0	0	0	0	207	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	114
Bo8g105980.1_exon_1	GENE_Bo8g105980.1_exon_1	transcript:Bo8g105980.1	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
gene:Bo8g105980	gene:Bo8g105980	Bo8g105980.1	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Bo5g038860.1_exon_1	GENE_Bo5g038860.1_exon_1	transcript:Bo5g038860.1	protein_coding	0	3	0	100	0	0	0	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	85
gene:Bo5g038860	gene:Bo5g038860	Bo5g038860.1	protein_coding	0	0	0	103	0	0	0	0	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	85
Bo5g065750.1_exon_1	GENE_Bo5g065750.1_exon_1	transcript:Bo5g065750.1	protein_coding	0	1	2	86	0	0	0	0	58	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	25
gene:Bo5g065750	gene:Bo5g065750	Bo5g065750.1	protein_coding	0	0	0	89	0	0	0	0	58	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	25
Bo8g101580.1_exon_1	GENE_Bo8g101580.1_exon_1	transcript:Bo8g101580.1	protein_coding	0	4	2	142	0	0	1	0	89	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	4	48
gene:Bo8g101580	gene:Bo8g101580	Bo8g101580.1	protein_coding	0	0	0	148	0	0	0	0	89	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	48
Bo1g002460.1_exon_2	GENE_Bo1g002460.1_exon_2	transcript:Bo1g002460.1	protein_coding	0	9	4	228	0	0	1	1	110	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	9	109
gene:Bo1g002460	gene:Bo1g002460	Bo1g002460.1	protein_coding	0	0	0	241	0	0	0	0	109	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	110
Bo1g002460.1_exon_2	GENE_Bo1g002460.1_exon_2	transcript:Bo1g002460.1	protein_coding	0	9	4	228	0	0	1	1	110	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	9	109
gene:Bo1g002460	gene:Bo1g002460	Bo1g002460.1	protein_coding	0	0	0	241	0	0	0	0	109	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	110
Bo3g150050.1_exon_1	GENE_Bo3g150050.1_exon_1	transcript:Bo3g150050.1	protein_coding	0	1	2	157	1	0	0	0	104	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	51
gene:Bo3g150050	gene:Bo3g150050	Bo3g150050.1	protein_coding	0	0	0	160	0	0	0	0	104	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	51
Bo6g038300.1_exon_1	GENE_Bo6g038300.1_exon_1	transcript:Bo6g038300.1	protein_coding	7	11	29	253	0	0	0	1	127	0	5	0	88	29	0	0	0	0	1	9	0	2	0	0	8	42
gene:Bo6g038300	gene:Bo6g038300	Bo6g038300.1	protein_coding	0	0	0	300	0	0	0	0	127	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	42
Bo2g161690.1_exon_1	GENE_Bo2g161690.1_exon_1	transcript:Bo2g161690.1	protein_coding	0	2	0	130	0	0	0	0	80	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	44
gene:Bo2g161690	gene:Bo2g161690	Bo2g161690.1	protein_coding	0	0	0	132	0	0	0	0	80	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	44
Bo3g109270.1_exon_3	GENE_Bo3g109270.1_exon_3	transcript:Bo3g109270.1	protein_coding	0	2	3	105	0	0	0	0	13	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	2	70
gene:Bo3g109270	gene:Bo3g109270	Bo3g109270.1	protein_coding	0	0	0	110	0	0	0	0	70	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	13
Bo2g108720.1_exon_1	GENE_Bo2g108720.1_exon_1	transcript:Bo2g108720.1	protein_coding	0	0	1	198	0	0	0	0	135	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	61
gene:Bo2g108720	gene:Bo2g108720	Bo2g108720.1	protein_coding	0	0	0	199	0	0	0	0	135	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	61
Bo5g009980.1_exon_1	GENE_Bo5g009980.1_exon_1	transcript:Bo5g009980.1	protein_coding	4	7	3	173	0	0	0	0	80	0	4	0	3	3	0	0	0	0	0	0	0	0	0	0	7	90
gene:Bo5g009980	gene:Bo5g009980	Bo5g009980.1	protein_coding	0	0	0	187	0	0	0	0	80	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	90
Bo5g009990.1_exon_6	GENE_Bo5g009990.1_exon_6	transcript:Bo5g009990.1	protein_coding	0	43	11	271	0	0	0	0	121	0	0	0	19	11	0	0	0	0	0	2	0	0	0	0	42	132
gene:Bo5g009990	gene:Bo5g009990	Bo5g009990.1	protein_coding	0	0	0	325	0	0	0	0	132	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	121
Bo8g111060.1_exon_1	GENE_Bo8g111060.1_exon_1	transcript:Bo8g111060.1	protein_coding	0	2	0	135	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	133
gene:Bo8g111060	gene:Bo8g111060	Bo8g111060.1	protein_coding	0	0	0	137	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	133
Bo8g111070.1_exon_2	GENE_Bo8g111070.1_exon_2	transcript:Bo8g111070.1	protein_coding	0	0	0	18	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
gene:Bo8g111070	gene:Bo8g111070	Bo8g111070.1	protein_coding	0	0	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bo8g111080.1_exon_1	GENE_Bo8g111080.1_exon_1	transcript:Bo8g111080.1	protein_coding	0	0	0	20	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gene:Bo8g111080	gene:Bo8g111080	Bo8g111080.1	protein_coding	0	0	0	20	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bo3g068620.1_exon_1	GENE_Bo3g068620.1_exon_1	transcript:Bo3g068620.1	protein_coding	0	23	7	18	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	23	17
gene:Bo3g068620	gene:Bo3g068620	Bo3g068620.1	protein_coding	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	17
Bo5g123510.1_exon_4	GENE_Bo5g123510.1_exon_4	transcript:Bo5g123510.1	protein_coding	0	4	2	9	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4
gene:Bo5g123510	gene:Bo5g123510	Bo5g123510.1	protein_coding	0	0	0	15	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5
Bo8g043460.1_exon_3	GENE_Bo8g043460.1_exon_3	transcript:Bo8g043460.1	protein_coding	0	0	1	104	0	0	0	0	91	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
gene:Bo8g043460	gene:Bo8g043460	Bo8g043460.1	protein_coding	0	0	0	105	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	91
Bo3g038880.1_exon_7	GENE_Bo3g038880.1_exon_7	transcript:Bo3g038880.1	protein_coding	0	4	5	291	0	0	0	0	135	0	0	0	15	5	0	0	0	0	0	2	0	0	0	0	2	143
gene:Bo3g038880	gene:Bo3g038880	Bo3g038880.1	protein_coding	0	0	0	300	0	0	0	0	143	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	135
Bo4g024850.1_exon_7	GENE_Bo4g024850.1_exon_7	transcript:Bo4g024850.1	protein_coding	0	4	1	337	0	0	0	0	208	0	0	0	19	1	0	0	0	0	0	1	0	0	0	0	3	111
gene:Bo4g024850	gene:Bo4g024850	Bo4g024850.1	protein_coding	0	0	0	342	0	0	0	0	111	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	208
Bo4g195720.1_exon_7	GENE_Bo4g195720.1_exon_7	transcript:Bo4g195720.1	protein_coding	0	1	0	112	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	64
gene:Bo4g195720	gene:Bo4g195720	Bo4g195720.1	protein_coding	0	0	0	113	0	0	0	0	64	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	46
Bo3g027460.1_exon_1	GENE_Bo3g027460.1_exon_1	transcript:Bo3g027460.1	protein_coding	0	0	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
gene:Bo3g027460	gene:Bo3g027460	Bo3g027460.1	protein_coding	0	0	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Bo4g042390.1_exon_2	GENE_Bo4g042390.1_exon_2	transcript:Bo4g042390.1	protein_coding	1	2	2	105	0	0	0	0	63	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	1	42
gene:Bo4g042390	gene:Bo4g042390	Bo4g042390.1	protein_coding	0	0	0	110	0	0	0	0	42	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	63
Bo2g026650.1_exon_1	GENE_Bo2g026650.1_exon_1	transcript:Bo2g026650.1	protein_coding	0	0	1	108	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
gene:Bo2g026650	gene:Bo2g026650	Bo2g026650.1	protein_coding	0	0	0	109	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	55
Bo9g139490.1_exon_2	GENE_Bo9g139490.1_exon_2	transcript:Bo9g139490.1	protein_coding	0	7	9	144	0	0	2	0	61	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	7	82
gene:Bo9g139490	gene:Bo9g139490	Bo9g139490.1	protein_coding	0	0	0	160	0	0	0	0	82	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	61
